,jk,job_title,job_description
374,jk=c374a16c8854c6c0,Public Area Attendant,"The Luskin Conference Center (LCC) is designed as a 300,000 square foot, 7-story, International Association of Conference Centers (IACC) certified property on the UCLA campus. The LCC is comprised of 254 guest rooms, approximately 25,000 square feet of meeting space, a 160-seat restaurant, a fitness center, and a business center. The total staff anticipated for the LCC is approximately 165-180 FTE, with total revenue projected at $30 million annually. The LCC is an academic meeting and conference destination supporting UCLA's education and research mission.

Under the direction of the Executive Housekeeper and Housekeeping Supervisor(s), provide housekeeping services for the Luskin Conference Center. Operate a variety of equipment to clean and maintain guest rooms, public areas, restrooms and offices. Tasks are expected to be performed in accordance with LCC's expectations for quality customer service. May assist with daily maid service for guest rooms as needed and required.

Must be able to work nights, weekends and some holidays.

Percentage of Time:
100

Shift Start:
variable

Shift End:
variable

Qualifications for Position

15
Records

Qualifications

Required/Preferred

Ability to communicate in English sufficiently and to understand simple work instructions and to impart information.

Required

Ability to write basic English words and phrases in order to complete forms regarding work to be done.

Required

Ability to read labels on cleaning solutions, written directions and work schedules.

Required

Ability to interact politely and courteously with University staff, guests, and faculty.

Required

Working knowledge of fundamental janitorial and custodial procedures.

Required

Ability to clean and prepare guest rooms for incoming guests.

Required

Ability to recognize when a guestroom has been adequately prepared for an incoming guest.

Can be trained

Ability to recognize when public areas are adequately neat and clean.

Can be trained

Skill in operating a variety of industrial and/or janitorial equipment including buffers, waxers, scrubbers, polishers and vacuum cleaners.

Required

Ability to properly use, control and inventory equipment and supplies.

Required

Working knowledge of carpet and floor care techniques.

Can be trained

Ability to lift items weighing up to 50 pounds.

Required

Ability to work independently or with others as directed or assigned.

Required

Ability to work overtime, holidays, evenings or weekends as assigned in order to meet operational needs.

Required

Ability to perform various custodial duties that involve walking, standing, climbing stairs and ladders, stooping and crouching.

Required

Additional Posting Information

Bargaining Unit:
SX-Service

Application Deadline:
01-10-2022

External Posting Date:
"
375,jk=c75b8dbcb0a833f2,Delivery Driver for organic produce,"We're currently looking for more people for New Years weekend. Delivering produce door to door to homes around Los Angeles. The requirements are to have a car with working A/C, drivers license, insurance, car insurance, phone with GPS, and a phone car charger. Your car needs to be cleared out and clean. We are looking for someone with a great attitude to join our team! This is a fun weekend gig if you love organic food and want to be part of the local food movement.Job Type: Part-timePay: $17.00 - $25.00 per hourSchedule:Weekend availabilitySupplemental Pay:TipsCOVID-19 considerations:We are now packing outdoors.Education:High school or equivalent (Preferred)Shift availability:Day Shift (Required)Work Location: Multiple Locations"
376,jk=62750d4997bc4163,Specialist - Recruitment - Human Resources,"As the Recruitment Specialist, you will be responsible for recruiting all allied health positions for both facilities and serving as a back up for nurse recruitment when needed. This position is responsible for ensuring that candidate applications and resumes are reviewed, logged and submitted to the hiring manager. This position is also responsible for ensuring that identified candidates meet minimum qualifications and are thoroughly phone screened before presenting to the Hiring Leader. Additionally, the Recruitment Specialist will maintain open communication with the hiring manager and candidate during the pre-employment process, schedule interviews, create offer letters, schedule Employee Health testing, perform background checks, and verify past employment and licenses as required. This position will ensure that candidates complete the pre-employment process prior to start dates. Working collaboratively with the Recruitment Manager, you will help track/trend, and identify recruitment best practices regarding the overall recruitment process. You will assist in various job fairs both in-state and possibly out of state and create check request for events. This position requires you to collectively evaluate individual department salaries to provide salary recommendations that are commensurate with internal equity. This position will require you to utilize sourcing efforts to identify qualified candidates specific for each department.
Minimum Education: High School diploma required or GED equivalent. Bachelor’s degree required or 3 or more years working as a recruiter could be substituted for the education. Minimum Experience/Knowledge: Minimum of 1 year experience working as a Recruiter in a healthcare setting preferred. Proficient in Microsoft Office Proficient analytical thinking and creative skills. Previous experience in Recruitment or Human Resources required. Experience in utilizing Applicant Tracking Systems (ATS) Recruitment for union type positions strongly preferred Recruitment in an academic medical center strongly preferred Required License/Certification: Fire and Safety Certification. If no card upon hire, one must be obtained within 30 days of hire, and maintained by renewal before expiration date."
377,jk=026fbb654b8f9948,Clutter Healing® Part-Time Organizer Application,"We are hiring part-time organizers and seeking individuals who desire a position where they will grow with the company, not just work for the company. You’ll be assisting lead organizers on-the-job and helping guide clients through the organization process.Are you in love with organization?Do messy environments kick-start your creative juices?Do you secretly rearrange furniture or restyle bookshelves in your mind when you are in other’s homes or shops?Have you worked in retail, merchandising, fashion or event planing but really just want to organize everything all day everyday?Clutter Healing® is a rapidly growing company and we’re curating a highly-selective group of organizers to clutter heal the greater Los Angeles area. Our intention is to create a world-wide presence.Ideal Candidates:-handle yourself with composure and grace-are comfortable working discreetly with high-profile clients-have a can-do positive attitude-are a hardworking, multi-tasking individual + can maintain high energy levels for a 7-8 hour shift-are teachable, focused and motivated-are a spatial/visual learner and can easily see how to utilize + maximize space where others do not-have excellent time management skills, and are able to prioritize and complete a set of tasks within a given time frame-have an impeccable short term memory + listening skills-you're not one to sit around and wait for the next task but rather are proactive + anticipate project needs-thrive in high stress situations-are traffic savvy and know how to navigate LA efficiently-are comfortable with technology + apps such as iNote, iPhoto + Google-are looking for a long-term position and not just a job or side hustle-excited about helping people live a clutter free life-are interested or passionate about zero waste + eco friendly solutions-are capable of lifting up to 30 pounds, walking, bending, climbing stairs and can be physically active for up to 8 hours-are reliable, on-time and steadfast in your commitments-are a licensed driver with your own car and up-to-date insurance + registrationIf you have the above qualifications, we want to speak with you!Previous professional organizing experience and/or experience in a related field (fashion, merchandising, events, home decorating + styling) is a plus, but not necessary.We are looking for organizers who are available approximately 15-30 hours per week. On site job times fluctuate between the hours of 8am-6pm but note that additional off site hours are required. Ordering product, donation drop offs and other client related errands are part of the organizing business.About the Company:Clutter Healing® focuses on giving our clients permission to let go of what is no longer serving them emotionally, physically and spiritually. Teaching others to BE organized versus GET organized is a very important piece of living a conscious organized life. Every decision we make carries an energetic frequency and our home environment is a physical expression of our actions and beliefs.Clutter Healing® not only heals homes and spaces, but also improves lives by using a combination of compassionate education, non-judgmental space holding, conscious consuming education, promotion of non-toxic products and supporting clients to live in alignment with their values.IF THIS JOB INTERESTS YOU PLEASE FILL OUT OUR APPLICATION: https://docs.google.com/forms/d/e/1FAIpQLScr7NpwVhmzbLyvVAD7oJlcNAIoa2lSgG_k462CS-xmZPcyjQ/viewformJob Types: Part-time, ContractPay: From $20.00 per hourSchedule:Monday to FridayCOVID-19 considerations:All Clutter Healing staff wears a mask when in a client home as well as regular hand washing.Work Location:Multiple locationsWork Remotely:NoWork Location: Multiple Locations"
378,jk=a17af9a27356e33a,Registered Nurse RN (Part Time) - Vaccine Administration $45/hr,We are seeking additional RN's for Part-Time roles who will administer COVID-19 vaccines for clinics during the week and weekendsQualificationsLicensed Registered NurseOrganized and reliableAbility to communicate clearly and effectively in a courteous and friendly mannerSpanish language is plusMust be fully vaccinatedReliable form of transportation to get to each locationAble to work weekendsResponsibilitiesVaccine administrationInput of data into a software applicationLicenses/Certification:  Current credential as Certified Licensed Registered NurseJob Type: Part-timePay: $45.00 per hourBenefits:Paid time offSchedule:10 hour shift8 hour shiftWeekend availabilityEducation:High school or equivalent (Required)License/Certification:BLS Certification (Preferred)Licensed Registered Nurse (Required)Work Location: Multiple Locations
379,jk=712e568f59f3ba1f,Assistant Recruiter,"Start or grow your career as a recruiter with our UCLA External Affairs team. We are looking for an Assistant Recruiter who can quickly learn about recruiting candidates for administrative openings. This is an excellent, remote/hybrid opportunity for someone wanting to build a career as a recruiter. In our positive and supportive team environment, you will grow and deepen skills in finding, screening, and interviewing candidates. You will make a vital contribution to bringing greater diversity, equity, inclusion, and belonging to External Affairs. Your work in External Affairs will be purposeful and make positive impact?External Affairs fundraises for UCLA by building relationships with donors, alumni, and government, providing critical funding for research, scholarships, healthcare, and teaching.

The Assistant Recruiter will work directly with managers and job candidates and will oversee the recruitment process for our administrative positions. You will use your excellent client/customer service and active listening skills to generate interest and identify outstanding candidates for current and future openings, screening and evaluating candidate professional skills and competencies. In addition, you will work with EA's Talent Acquisition team to build your understanding of the recruitment process and support the management of our pipeline cultivation. As Assistant Recruiter you will be responsible for ensuring that hiring practices are applied equitably, consistently and in compliance with university policies, and laws.

Percentage of Time:
100

Shift Start:
8:00 am

Shift End:
5:00 pm

Qualifications for Position

10
Records

Qualifications

Required/Preferred

1. Ability to consult with managers and supervisors to understand admin assistant/ support positions and identify skills &amp; competencies; ability to evaluate candidates against the qualifications needed.

Required

2. Ability to understand, evaluate and implement recruiting policies, protocols and laws and consistently track applicant status.

Required

3. Ability to understand the field of advancement &amp; philanthropy and learn its functional areas and organizational structure.

Required

4. Highly organized and detail oriented with excellent time and project management skills, follow up, and ability to work on multiple tasks concurrently under general or minimal supervision.

Required

5. Ability to maintain a high level of professionalism and honesty while building credibility, trust and respect with both internal and external constituents.

Required

6. High accountability to effectively work collaboratively or autonomously to meet deadlines.

Required

7. Excellent interpersonal, listening, written and oral communication skills to quickly and effectively develop strong and lasting internal/external relations.

Required

8. Ability to articulate and champion the work with excellent persuasive communication skills.

Required

9. Good judgment, confidentiality and discretion in communicating with colleagues and constituents.

Required

10. Ability to work evenings and/or weekends as needed.

Required

Additional Posting Information

Bargaining Unit:
99-Policy Covered

Application Deadline:
01-09-2022

External Posting Date:
"
380,jk=345ab400ce8721a0,Data Center Entry-Level Tech,"We are seeking individuals who love working with modern computer hardware. This position requires a good working knowledge of the various components in a computer and the ability to build, upgrade, and troubleshoot them. Experience with RAID, operating system installation, replacing failed hardware, and basic networking is highly valued."
381,jk=8ec5cbf02dbd2943,Delivery Driver,"We are looking for responsible Delivery Drivers to help grow a new app. We are a special niche app that has the potential to disrupt the delivery market. We are looking for drivers who can interact with new customers as you and the customer learn the in's and out's of our unique and inventive application under the guidance of the regional manager. You will represent our company in a professional and cost-effective manner and most importantly insure customer satisfaction.This is a part time job that not only do you receive an hourly wage, you will also be paid per delivery and have the potential to receive tips. Some drivers have received $50-65 an hour after delivery fees and tips. You must provide your own vehicle. $20/hr for sedans and small SUV's, $25/hr for trucks/vans large SUV plus you keep the delivery pay and tips.This is the ideal position to supplement a driver who works for other service apps like postmates/uber/lyft etc. This is an independent contractor position and you are responsible for your own insurance and you work when you are available.ResponsibilitiesSafely Deliver a wide variety of items to different addresses and through different routesFollow routes using your own map apps as well as those provided by the appLoad, unload, prepare, inspect and operate your own delivery vehicleAsk for feedback on provided services and resolve clients’ complaints with guidance provided by the regional manager.Guide customers on how to use the appCommunicate with customers before, during and after deliveriesComplete simple logs and reports as neededFollow all traffic regulations and safety standardsLog and invoice hours under the guidance of the regional managerSkillsValid professional driver’s licenseAbility to operate forklifts and tractors in a variety of weather and traffic conditionsExcellent organizational and time management skillsGood driving recordAbility to adapt and grow with new technologyJob Types: Part-time, Contract, TemporaryPay: $20.00 - $25.00 per hourBenefits:Flexible scheduleSchedule:8 hour shiftOn callWeekend availabilitySupplemental Pay:Bonus payCommission payTipsCOVID-19 considerations:All drivers must adhere to covid-19 protocols guidelines and wear a mask when interacting with clients and customers.Education:High school or equivalent (Preferred)License/Certification:Driver's License (Preferred)Work Location: Multiple Locations"
382,jk=37ea632ffe602a7b,Concierge - Downtown LA - Alamo Drafthouse,"The Alamo Drafthouse prides itself on many things, but great company culture and teammate experience are right at the top. We are always looking for awesome humans to join our team and help us make Alamo Drafthouse the Best DAMN Cinema That Has Ever Or Will Ever Exist! If that gets you jazzed up, keep reading to find out more about this open position.
POSITION SUMMARY
The Concierge is a hospitality guru who is guest focused, flexible, and knowledgeable about movies. They make sure every need is taken care of, they share the excitement of our specialty programming with our guests, and help keep our facilities in world class condition.
The Concierge is a representative of Alamo Drafthouse and is responsible for upholding our Core Values at all times. They ensure every guest has an awesome experience by attending to their needs in a timely and helpful manner, from the moment they enter the door to the point they drive away from the parking lot.
OUR MISSION
To Ensure EVERY Guest Has An AWESOME Experience And Is EXCITED To Come Back
OUR CORE VALUES
DO THE RIGHT THING
We strive to be a force of good in our company, in our industry and in the world. We stand up for our beliefs even when it is hard. We start from a place of kindness.
FOSTER COMMUNITY
We value what is unique about each other and celebrate our differences. We treat each other with respect, support each other’s passions, and help each other grow. We welcome healthy debate but don’t tolerate intolerance. We take this commitment outside our 4 walls, creating neighborhood theaters that are deeply tied to the local community.
BOLDLY GO
Like the crew of the Starship Enterprise™, we seek out new experiences and pursue innovation in all of our work. We take risks and chart new territory. We learn from our mistakes and continuously improve.
GIVE A SH!T
We are passionate about creating awesome experiences. We obsess over every detail and take pride in our work because we know it makes all the difference to our guests and our teammates. Our pursuit of excellence drives us to do our best.


Core Role Responsibilities
Uphold standards of behavior as defined by the company Core Values, Code of Conduct and Operational Guidelines
Maintains a cheerful, courteous disposition with neat, clean and professional attire
Greets guests upon entering and departing the venue
Answers phone and responds to questions and/or directs calls to the appropriate place
Keeps Managers fully informed of all problems or unusual matters of significance - takes prompt corrective action where necessary or suggests alternative courses of action that may be taken
Keeps lobby clean and free of clutter
Keeps up-to-speed on current and upcoming movies and all special events at the venue
Maintains the cleanliness and organization of the concierge desk
Maintains stocking levels of necessary supplies
Processes admission tickets to guests
Maintains a balanced cash drawer - handles all in-venue ticket transactions
Provides assistance to guests’ special needs, such as helping those with disabilities
Directs guest traffic within the venue
Champions and adheres to all company safety and sanitation policies and procedures
Team player, assisting other teammates as needed or when business needs dictate
Qualifications
Holds a passion for the cinematic experience
Ability to operate POS
Ability to stand/walk at least 8-10 hours at a time
Ability to reach, bend, stoop, and clean frequently
Ability to read and write English
Ability to verbalize and clearly respond to guests
What We Offer
A fun workplace where you can be yourself and do awesome work!
Free movies &amp; food
Paid time off
Competitive pay
Flexible scheduling
Medical, dental, vision, FSA, HSA, and voluntary benefits are available for all full-time teammates
“The Alamo Drafthouse Cinema is good food, good beer and good film, all at the same place!” That’s how we described ourselves in 1997, and that mission hasn’t changed and will never, ever change. For over two decades we’ve worked to make the Alamo Drafthouse experience the best cinematic experience in the world."
383,jk=f006b7294067ddca,"Manager, Airport Customer Care","Location: Los Angeles Apt, Terminal 4 (LAX-TRM4)
Additional Locations: None
Requisition ID: 52773
Intro
Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
Why you'll love this job
This job is a member of the Hubs and Gateways Team, within the Customer Experience Division.
Responsible for managing, developing, and coordinating all customer related activities ensuring the highest level of customer satisfaction and experience.
What you'll do
Oversees day to day customer service operations including oversight of the ticket counter and gate activity in multiple facilities
Ensures efficient use of resources to achieve operational performance targets
Enforces all company and departmental procedures including safety and security
Reviews staffing requirements and bid schedules for all employees
Communicates procedural changes to Customer Service Managers and frontline employees ensuring compliance
Monitors and analyzes trends to achieve on time performance
Mentors and develops employees
Identifies areas which require improvement
Develops and implements processes to achieve improved efficiency and productivity
Enhances vendor relations and ensures contractual obligations are performed
Ensures all internal audit requirements are in compliance
Develops an annual expense plan and monitors the budget
Assists with interviews and selection of CSMs/Customer Service Supervisors
Ability to work rotating shifts including nights, weekends and holidays
Complete other duties as required
All you'll need for success
Minimum Qualifications- Education &amp; Prior Job Experience
Bachelor’s Degree in Business Management or relevant field or equivalent experience/training
3 years’ work experience in Airline Customer Service supervisory
Preferred Qualifications- Education &amp; Prior Job Experience
N/A
Skills, Licenses &amp; Certifications
Knowledge of Microsoft Office to include Word, Excel, PowerPoint, Outlook, etc.
Excellent analytical skills and proficient use of PC related software
Strong leadership and organizational skills
Ability to multi-task and handle shifting priorities within a fast-paced, dynamic work environment and can tolerate high stress situations
Ability to effectively delegate work assignments and manage large groups of employees
What you'll get
Feel free to take advantage of all that American Airlines has to offer:
Travel Perks: Ready to explore the world? You, your family and your friends can reach 365 destinations on more than 6,800 daily flights across our global network.
Health Benefits: On day one, you’ll have access to your health, dental, prescription and vision benefits to help you stay well. And that’s just the start, we also offer virtual doctor visits, flexible spending accounts and more.
Wellness Programs: We want you to be the best version of yourself – that’s why our wellness programs provide you with all the right tools, resources and support you need.
401(k) Program: Available upon hire and, depending on the workgroup, employer contributions to your 401(k) program are available after one year.
Additional Benefits: Other great benefits include our Employee Assistance Program, pet insurance and discounts on hotels, cars, cruises and more.
Feel Free to be yourself at American
From the team members we hire to the customers we serve, inclusion and diversity are the foundation of the dynamic workforce at American Airlines. Our 20+ Employee Business Resource Groups are focused on connecting our team members to our customers, suppliers, communities and shareholders, helping team members reach their full potential and creating an inclusive work environment to meet and exceed the needs of our diverse world.

Are you ready to feel a tremendous sense of pride and satisfaction as you do your part to keep the largest airline in the world running smoothly as we care for people on life’s journey? Feel free to be yourself at American.
Additional Locations: None
Requisition ID: 52773"
384,jk=12109f3d6e8bdd93,Coordinator - Support - USC Orthopedic Surgery Associates,"Assist with all aspects of patient care. Coordinate outpatient clinic, patient appointments and follow up. Assist the office with clerical duties. Other duties may include: assisting multidisciplinary team in managing the care of the patients thru all phases (In-take/Evaluation/Listed) by acting as a liaison between the clinic and referring physicians; assisting in managing follow-up care for post surgical patients by setting up follow up care appointments; and/or coordinating an organized and efficient case flow of clinic scheduling. Must work with any and every physician in the Clinic. Other duties as assigned.
Minimum Education: High school graduate or equivalent GED. Minimum Experience/Knowledge: Entry level accepted; 1+ years experience in acute care or ambulatory care setting preferred. Ability to communicate effectively in English both verbally and in writing. Knowledge of medical terminology preferred. Familiarity with word processing, Cerner, and scheduling software is preferred. Required License/Certification: Fire and Safety Certification required if working in a licensed clinic located in the city of Los Angeles. If no card upon hire, one must be obtained within 30 days of hire, and maintained by renewal before expiration date."
385,jk=28240d271d950238,Dog Daycare Attendant - Part Time(nights and weekend availability required),"*PLEASE READ. Do NOT call business about job posting.DOG DAYCARE ATTENDANT (DROPERATOR)Part-Time at Dogdrop Arts DistrictOVERVIEWAt Dogdrop, we want our spaces to be enjoyable for humans and dogs, and to be the most convenient option for every pup parent.You’ll be responsible for the safety, supervision and management of dogs in our care. People bring their dogs to Dogdrop to have a good experience, so your role will be to make sure they can do that safely and with respect towards other dog members. You’ll keep your eyes on the dogs at all times, looking for signs of intensity increase or aggression. You won’t stop moving, you’ll be on your toes at all times, and you’ll communicate seamlessly with the rest of the team.You’ll redirect dogs repeatedly, so patience is a must.Your first month may start with part-time hours so you can go through our required training. Once you complete training, and the better you perform you have the opportunity to achieve full-time hours.Job Type: Part-timePay: $15.00 - $18.00 per hourJob Type: Part-timePay: $15.00 - $17.00 per hourBenefits:401(k)Employee discountFlexible scheduleSchedule:8 hour shiftDay shiftMonday to FridayNight shiftWeekend availabilitySupplemental Pay:Bonus payCOVID-19 considerations:Yes. Number of customers are limited in the facility. We keep a distance between staff. Masks are worn at all times. We disinfect throughout the day and deep clean at night.Education:High school or equivalent (Required)Experience:Animal care: 1 year (Preferred)Work Location: One location"
386,jk=a89e01fc292f586d,Yard Worker,"We are a well-established towing company servicing local police departments as well as the California Highway Patrol and are looking for Yard Workers. We provide related training for safety, customer service and all things towing related. Experience is preferred but not necessary. Applicants must be willing to assist co-workers with office duties as well as yard work. forklift experience is preferred. We offer a competitive hourly wage in addition to Health Benefits, Dental Benefits as well as Vacation.Job Type: Full-timePay: $16.00 - $18.00 per hourBenefits:Dental insuranceHealth insurancePaid time offSchedule:10 hour shiftWeekend availabilityWork Location: One location"
387,jk=6f09ff880c367595,Miami / Los Angeles,"Miami / Los Angeles

Absolute Web is a leading Digital Commerce Agency headquartered in Miami, with more offices...
Read more"
388,jk=eaf36b1bfb72404d,Evening Cleaner Monday-Friday 8:00pm-12:00am,"The impact you will makeWhen guests walk into our studios, imagine the wow impression they will have. All the stations are perfectly set up for the perfect photoshoot. We invite you to explore the Skyline Penthouse.The teammate we seekAt the core: Responsible, Independent, Fast &amp; Detail OrientedPositive attitude with a bright smile on the faceProfessional demeanor and appearance at all timesWillingness to complete all tasks that are assignedFlexibility to accommodate last minute requestsDetail Oriented to care to put everything perfectIndependent, self-directed individual with high standards of workmanshipTake direction and continue to work with little supervisionAbility to work at a fast/urgent paceClear communicationExcellent attendanceThe duties of the jobMaintain the physical upkeep of the propertiesAbility to lift up to 50 pounds and push 200 pounds, bend, stoop, reach high and lowReorganize furniture putting it back to staged stateDust, polish and remove marks from walls and furnishingsHang and organize curtainsStraighten desk items, furniture and appliancesEmpty trash/recycling and take it to the dumpstersClean restrooms, lobbies, kitchen, furniture, storageMonitor and control supplies and amenities, and minimize waste within all areas of housekeepingDust, vacuum, mop, sweep, and other general cleaning duties as needed/assignedReport, turn in, and/or log all lost and found items according to established proceduresReport to supervisor needed repairs or unsafe conditionsTravel to other properties nearby within a mile radiusDuties may include additional work on specific days like set up/break down of chairs, stage, wall touch ups, etc.Preferred qualificationsMinimum 5 years of experience in a professional cleaning environment, ideally someone that has worked for hotels, follows high standards of cleaning, and knows how to stage furniture back consistently. Must have a car, as studios are a few blocks from each other and driving is required.Overview of schedule (shifts, days, hours)Monday-Friday8:00pm-12:00amshifts vary 3-4 hours time slots$18/hourPart Time/On callAdditional hours in the shift will depend on the studios' schedules.There is also an additional weekend shift for either Saturday evening or Sunday morning. Shift hours vary depending on studios' schedules.This position has a probationary trial period. Seeking a good fit for the company for a long term position.Buscando un Candidato Responsable y Confiable para una posición de Limpieza de Noche o mañanaLa persona que buscamos: En esencia: Responsable, Independiente, Rapida &amp; Atencion al DetalleActitud positiva con sonrisa en la caraApariencia profesional en todo momentoBuenas ganas para completar todas las tareas asignadasFlexible para acomodar cambios de último momentoDetallada para poner todo (muebles, decoraciones) perfectamente en su lugarIndependiente, con altos estándares de trabajoTomar dirección y trabajar Independientemente con poca supervisiónSentido de urgencia para hacer las tareas rápidamenteBuena y clara comunicaciónResponsable y puntualLas tareas del trabajo: Retener la imagen limpia de las propiedadesHabilidad de levanta 50 libras y empujar 200 libras, agacharse, alcanzar cosas altas y bajasReacomodar mueblesLimpiar manchas y marcas en las paredes y mueblesColgar y Reorganizar cortinasOrganizar y acomodar muebles, accesorios, y electrodomésticosMonitorear y controlar artículos de limpieza, reducir desperdiciosBarrer, trapear, pasar la aspiradora y otras tareas de limpieza como sea necesarioReportar, devolver e informal ítems olvidados por los clientesReporta cosas que necesiten arreglo o condiciones peligrosasViajar a otras propiedades dentro de una milla de radioTareas pueden incluir trabajo adicional como acomodar sillar, apilar sillas, preparar escenario, re pintar la pared, acomodar cables,Calificaciones preferidasMínimo 5 años de Experiencia Profesional en limpieza idealmente en hoteles, donde el candidato conoce el alto standard de limpieza y sabe como estilizar los muebles y las decoraciones. Se requiere a alguien con transporte propio; los estudios están es diferentes edificios y se require que se maneje de uno al otro.Horarios:Lunes-Viernes8pm-12:00amel tiempo varia 3-4 horas por dia$18/hourTiempo medio/Por llamadoLas horas adicionales dependen de los horarios de los estudios.Hay un shift adicional para los DomingosEsta posición tiene un periodo de prueba. Se busca personal a largo plazo''Work RemotelyNoJob Types: Part-time, ContractPay: $18.00 per hourSchedule:Monday to FridayNight shiftOn callWeekend availabilityCOVID-19 considerations:The shift is for the cleaner to work in the studio by himself/herself.Education:High school or equivalent (Preferred)Experience:Custodial Experience: 2 years (Required)Work Location: Multiple Locations"
389,jk=a400090e8f79fddd,House Monitor,"Department: Men?s Resident Ministries
Reports To: Jump Start Chaplain
FLSA Status: Regular, Full Time, Non-Exempt
Location: Los Angeles, CA

SUMMARY:
Demonstrate Christ-like behavior and attitude in all job duties and responsibilities. Responsible for monitoring, maintain safety, cleanliness and sanitation of the Los Angeles Mission Men?s Center by performing the following duties.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Responsible for the safety and monitoring of clients/students.
Check for contraband in the facility through general observation to ensure compliance with program rules.
Report and coordinate with security concerning violence of any kind one or the removal of client or student (Follow appropriate incident protocol and accompanying). documentation.
Conducts routine bed checks at quiet time and periodic room checks throughout shift, reporting absences, etc.
Maintain a comprehensive and accurate written record of events that occur during shift as well as through incident reports and submit to supervisor and student?s chaplain.
Intervenes as necessary to protect students from injuring others, staff and/or themselves.
Effectively communicates emergency situations to supervisor in a timely manner Consult with direct supervision regarding client?s/students? personal needs, behavior.
Maintains confidentiality of student and/or staff issues.
Maintain student sign in-out log and records
Monitors residential areas, is visible and available to assist clients/students.
Monitors the daily activities of the clients/students which includes:

1. Permission to leave passes,
2. Recreation
3. Visitation
4. Meal times
5. Laundry
6. Clothing I Hygiene
7. Classes
Ensures client are properly clean and keep sanitary their living quarters this includes

1. Making up their beds
2. Cleaning up after themselves in restrooms
3. Working with outreach on clothing and bedding supplies for clients
Observe and report any maintenance issues.
Collects urine samples for drug testing as deemed necessary and leave for chaplain.
Escorts students to activities (when necessary).
May transport and supervise clients /students on outside activities.
As appropriate, offers prayer and encouragement consistent with Scriptures and the principles of Los Angeles Mission, Inc.
Attends Staff Meetings and Staff Devotions (when possible).
Provide clerical support as assigned

PHYSICAL DEMANDS
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. While performing the duties of this job, the employee is regularly required to sit and talk or hear. The employee frequently is required to walk. The employee is occasionally required to stand, use hands to finger, handle, or feel, and reach with hands and arms. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include peripheral vision.
BENEFITS AND COMPENSATION
Compensation depends on experience and qualifications within our pay grades. Benefits include paid sick and vacation time, medical, dental, vision, life, and LTD insurance, and retirement plan options."
390,jk=5abc2199f0b8058e,Parent Education Support Assistant(Spanish Language),"About the Role: A Parent Education Support Assistant (Spanish Language) assists various central District programs by disseminating educational program information to parents and students. This position also requires fluency in Spanish language.Responsibilities: Provides parents and students with education program information and refers parents and students who need further assistance to appropriate certificated advisors.Maintains communication and effective relationships with parents, school and central district staff, and partner organizations.Participates in discussions and workshops, and presents approved central District program information to parents and students.May assist parents with completing forms.Collaborates and meets with other school personnel to coordinate services for parents and provide additional program-specific resources.Maintains files, records, and other information and checks forms and records for completeness and accuracy.Attends professional development trainings and meetings to stay informed on central District program updates.Qualifications: 80 hours of paid experience or verifiable volunteer experience in a parent or community center of a public school or other parent/community involvement program.Education: Graduation from high school or evidence of equivalent educational proficiency.Special: A valid California Driver License and the availability of private transportation, or the ability to utilize an alternative method of transportation.Shift: This is a part time position where you will be working 3.75 hours during the school day (3 hours and 45 minutes).Benefits: Membership in the California Public Employee Retirement System (CalPERS).Vacation and illness hours based on the number of hours worked.Job Type: Part-timePay: Up to $21.87 per hourWork Location: One location"
